Date,Open,High,Low,Close,Adj Close,Volume
2018-03-15,25.844999,26.069000,25.806601,25.806601,25.806601,0
2018-03-16,26.173000,26.173000,25.806601,25.806601,25.806601,0
2018-03-19,26.278000,26.278000,26.117500,25.931601,25.931601,0
2018-03-20,26.080999,26.080999,25.931601,26.117500,26.117500,0
2018-03-21,26.142000,26.142000,26.035500,26.049999,26.049999,0
2018-03-22,25.854000,26.042999,25.854000,26.035999,26.035999,0
2018-03-23,25.990999,26.041300,25.990999,26.039499,26.039499,0
2018-03-26,26.002001,26.027000,26.002001,25.995001,25.995001,0
2018-03-27,25.938999,26.065001,25.938999,26.018499,26.018499,0
2018-03-28,26.055000,26.223000,26.046499,26.056999,26.056999,0
2018-03-29,26.393000,26.393000,26.237499,26.046499,26.046499,0
2018-03-30,26.285999,26.285999,26.241501,26.237499,26.237499,0
2018-04-02,26.264999,26.264999,26.264999,26.225000,26.225000,0
2018-04-03,26.306000,26.306000,26.046000,26.264999,26.264999,0
2018-04-04,26.073999,26.073999,26.025999,26.299999,26.299999,0
2018-04-05,26.025000,26.025000,26.019501,26.025999,26.025999,0
2018-04-06,26.087000,26.087000,25.763000,26.022900,26.022900,0
2018-04-09,25.698000,25.766001,25.698000,26.022900,26.022900,0
2018-04-10,25.665001,25.733999,25.665001,25.664000,25.664000,0
2018-04-11,25.662001,25.674999,25.654499,25.676001,25.676001,0
2018-04-12,25.683001,25.752001,25.675501,25.667000,25.667000,0
2018-04-13,25.766001,25.943001,25.759501,25.745001,25.745001,0
2018-04-16,25.903999,25.903999,25.834499,25.759501,25.759501,0
2018-04-17,25.808001,25.830500,25.808001,25.834499,25.834499,0
2018-04-18,25.840000,25.889000,25.832500,25.830500,25.830500,0
2018-04-19,25.888000,25.990000,25.888000,25.832500,25.832500,0
2018-04-20,26.037001,26.037001,25.921000,25.982401,25.982401,0
2018-04-23,25.979000,25.979000,25.972900,25.898001,25.898001,0
2018-04-24,25.917000,25.917000,25.862499,25.972900,25.972900,0
2018-04-25,25.813999,26.030001,25.813999,25.862499,25.862499,0
2018-04-26,26.096001,26.096001,25.971500,25.862499,25.862499,0
2018-04-27,26.129000,26.129000,25.982500,25.971500,25.971500,0
2018-04-30,25.908001,25.992001,25.908001,25.982500,25.982500,0
2018-05-01,26.016001,26.052000,26.014500,25.992001,25.992001,0
2018-05-02,26.209999,26.209999,25.896000,26.014500,26.014500,0
2018-05-03,26.010000,26.011101,25.975000,26.014500,26.014500,0
2018-05-04,25.951000,26.261000,25.951000,26.011000,26.011000,0
2018-05-07,26.108000,26.108999,26.020000,26.058001,26.058001,0
2018-05-08,25.990000,25.990499,25.988001,26.108999,26.108999,0
2018-05-09,26.002001,26.005100,25.973000,25.990499,25.990499,0
2018-05-10,26.040001,26.040001,26.005100,26.005100,26.005100,0
2018-05-11,25.895000,25.962500,25.895000,26.005199,26.005199,0
2018-05-14,25.924000,25.924000,25.907000,25.909000,25.909000,0
2018-05-15,26.028000,26.028000,25.966000,25.907000,25.907000,0
2018-05-16,26.167000,26.167000,25.990499,25.966000,25.966000,0
2018-05-17,25.924999,25.936501,25.924999,25.990499,25.990499,0
2018-05-18,25.931999,25.936501,25.893000,25.936501,25.936501,0
2018-05-21,25.927000,25.931999,25.843000,25.870001,25.870001,0
2018-05-22,25.750999,25.789000,25.750999,25.931999,25.931999,0
2018-05-23,25.840000,25.843500,25.840000,25.789000,25.789000,0
2018-05-24,25.841000,25.872000,25.841000,25.843500,25.843500,0
2018-05-25,25.861000,25.900000,25.861000,25.872000,25.872000,0
2018-05-28,25.934999,25.934999,25.896999,25.866501,25.866501,0
2018-05-29,25.959000,25.959000,25.856001,25.904499,25.904499,0
2018-05-30,25.877001,25.886999,25.864000,25.865999,25.865999,0
2018-05-31,25.792000,25.860001,25.792000,25.864000,25.864000,0
2018-06-01,25.819000,25.873501,25.819000,25.860001,25.860001,0
2018-06-04,25.957001,25.957001,25.877001,25.951000,25.951000,0
2018-06-05,25.927000,25.937500,25.927000,25.934999,25.934999,0
2018-06-06,25.798000,25.906000,25.798000,25.937500,25.937500,0
2018-06-07,25.868999,25.914499,25.868999,25.906000,25.906000,0
2018-06-08,25.990000,25.990000,25.906000,25.914499,25.914499,0
2018-06-11,25.777000,25.834499,25.777000,25.785999,25.785999,0
2018-06-12,25.853001,25.853001,25.840500,25.815001,25.815001,0
2018-06-13,25.924000,25.924000,25.870001,25.840500,25.840500,0
2018-06-14,25.775999,26.014000,25.775999,25.875000,25.875000,0
2018-06-15,26.601999,26.601999,26.110001,26.014000,26.014000,0
2018-06-18,26.099001,26.099001,26.083500,26.118999,26.118999,0
2018-06-19,26.049000,26.195499,26.049000,26.083500,26.083500,0
2018-06-20,26.100000,26.243500,26.100000,26.195499,26.195499,0
2018-06-21,26.194000,26.202999,26.039000,26.243500,26.243500,0
2018-06-22,25.885000,25.982500,25.885000,26.049000,26.049000,0
2018-06-25,25.934000,25.934000,25.879499,25.982500,25.982500,0
2018-06-26,25.799000,25.969999,25.799000,25.879499,25.879499,0
2018-06-27,26.004000,26.065500,26.004000,25.969999,25.969999,0
2018-06-28,26.212999,26.212999,26.059000,26.065500,26.065500,0
2018-06-29,26.114000,26.123501,26.114000,26.068001,26.068001,0
2018-07-02,25.969000,25.977501,25.969000,26.123400,26.123400,0
2018-07-03,25.976999,26.045500,25.976999,25.977501,25.977501,0
2018-07-04,26.011999,26.194000,26.011999,26.045500,26.045500,0
2018-07-05,26.143999,26.143999,26.091999,26.018999,26.018999,0
2018-07-06,26.076000,26.084000,26.076000,26.091999,26.091999,0
2018-07-09,25.988001,25.988001,25.966000,25.981001,25.981001,0
2018-07-10,26.011000,26.016001,25.959999,25.971001,25.971001,0
2018-07-11,25.893999,25.978001,25.893999,25.966000,25.966000,0
2018-07-12,26.052999,26.052999,25.980000,26.037001,26.037001,0
2018-07-13,25.966000,25.973000,25.966000,25.980000,25.980000,0
2018-07-16,25.851000,25.957001,25.851000,25.971001,25.971001,0
2018-07-17,25.973000,25.980000,25.973000,25.957001,25.957001,0
2018-07-18,26.122999,26.122999,26.063000,25.980000,25.980000,0
2018-07-19,26.006001,26.198999,26.006001,26.070999,26.070999,0
2018-07-20,26.049000,26.164000,26.049000,26.014000,26.014000,0
2018-07-23,25.983000,26.000999,25.983000,26.004000,26.004000,0
2018-07-24,26.232000,26.344000,26.232000,26.000999,26.000999,0
2018-07-25,26.398001,26.405001,26.377001,26.344000,26.344000,0
2018-07-26,26.273001,26.379999,26.273001,26.377001,26.377001,0
2018-07-27,26.525999,26.527000,26.518999,26.379999,26.379999,0
2018-07-30,26.448000,26.473000,26.448000,26.527000,26.527000,0
2018-07-31,26.420000,26.601999,26.420000,26.473000,26.473000,0
2018-08-01,26.707001,26.714001,26.707001,26.601999,26.601999,0
2018-08-02,26.771000,26.792999,26.771000,26.714001,26.714001,0
2018-08-03,26.850000,26.858999,26.850000,26.792999,26.792999,0
2018-08-06,26.871000,26.871000,26.834000,26.858999,26.858999,0
2018-08-07,26.781000,26.792999,26.747999,26.834000,26.834000,0
2018-08-08,26.738001,26.747000,26.705999,26.747999,26.747999,0
2018-08-09,26.667000,26.955999,26.667000,26.705999,26.705999,0
2018-08-10,27.052999,27.052999,26.898001,26.898001,26.898001,0
2018-08-13,27.173000,27.173000,27.115000,26.898001,26.898001,0
2018-08-14,27.059999,27.233000,27.059999,27.128000,27.128000,0
2018-08-15,27.349001,27.349001,27.211000,27.233000,27.233000,0
2018-08-16,27.131001,27.431000,27.131001,27.211000,27.211000,0
2018-08-17,27.426001,27.698000,27.426001,27.145000,27.145000,0
2018-08-20,27.570000,27.639999,27.416000,27.698000,27.698000,0
2018-08-21,27.233000,27.447001,27.233000,27.427999,27.427999,0
2018-08-22,27.304001,27.591000,27.304001,27.447001,27.447001,0
2018-08-23,27.604000,27.621000,27.604000,27.591000,27.591000,0
2018-08-24,27.704000,27.704000,27.614000,27.614000,27.614000,0
2018-08-27,27.430000,27.669001,27.430000,27.476999,27.476999,0
2018-08-28,27.507999,27.778000,27.507999,27.614000,27.614000,0
2018-08-29,27.787001,27.889999,27.787001,27.614000,27.614000,0
2018-08-30,27.752001,28.033001,27.752001,27.889999,27.889999,0
2018-08-31,28.106001,28.106001,28.003000,27.889999,27.889999,0
2018-09-03,28.155001,28.166000,28.155001,28.010000,28.010000,0
2018-09-04,28.164000,28.239000,28.164000,28.166000,28.166000,0
2018-09-05,28.160999,28.170000,28.157000,28.172001,28.172001,0
2018-09-06,28.048000,28.048000,27.979000,28.157000,28.157000,0
2018-09-07,28.000999,28.030001,28.000999,27.987000,27.987000,0
2018-09-10,28.159000,28.159000,27.966000,28.030001,28.030001,0
2018-09-11,27.910000,27.910000,27.833000,28.030001,28.030001,0
2018-09-12,27.801001,27.809999,27.801001,27.833000,27.833000,0
2018-09-13,27.698000,27.829000,27.698000,27.809999,27.809999,0
2018-09-14,27.686001,27.907000,27.686001,27.809999,27.809999,0
2018-09-17,28.086000,28.086000,27.858000,27.907000,27.907000,0
2018-09-18,27.832001,27.895000,27.832001,27.907000,27.907000,0
2018-09-19,27.910000,27.910000,27.847000,27.895000,27.895000,0
2018-09-20,27.886000,27.886000,27.809999,27.854000,27.854000,0
2018-09-21,27.669001,27.794001,27.669001,27.816000,27.816000,0
2018-09-24,27.826000,27.836000,27.826000,27.777000,27.777000,0
2018-09-25,27.860001,27.865999,27.806999,27.868000,27.868000,0
2018-09-26,27.802999,27.865999,27.802999,27.865999,27.865999,0
2018-09-27,27.903000,28.072001,27.903000,27.865999,27.865999,0
2018-09-28,28.243000,28.243000,28.021000,28.072001,28.072001,0
2018-10-01,27.945000,28.021000,27.945000,28.021000,28.021000,0
2018-10-02,28.021999,28.031000,27.997000,28.021000,28.021000,0
2018-10-03,27.936001,28.042000,27.936001,28.031000,28.031000,0
2018-10-04,28.212000,28.212000,27.912001,28.031000,28.031000,0
2018-10-05,27.867001,27.867001,27.820000,28.031000,28.031000,0
2018-10-08,27.764000,27.823999,27.764000,27.736000,27.736000,0
2018-10-09,27.768000,27.812000,27.768000,27.774000,27.774000,0
2018-10-10,27.666000,27.753000,27.666000,27.778999,27.778999,0
2018-10-11,27.664000,27.740000,27.664000,27.753000,27.753000,0
2018-10-12,27.691999,27.691999,27.653000,27.740000,27.740000,0
2018-10-15,27.735001,27.735001,27.681999,27.662001,27.662001,0
2018-10-16,27.698999,27.698999,27.667999,27.681999,27.681999,0
2018-10-17,27.672001,27.681000,27.672001,27.677000,27.677000,0
2018-10-18,27.773001,27.792999,27.773001,27.674999,27.674999,0
2018-10-19,27.940001,27.940001,27.792999,27.792999,27.792999,0
2018-10-22,27.811001,27.834999,27.811001,27.933001,27.933001,0
2018-10-23,27.921000,27.921000,27.899000,27.834999,27.834999,0
2018-10-24,27.879000,28.006001,27.879000,27.910000,27.910000,0
2018-10-25,28.025000,28.091000,28.025000,27.910000,27.910000,0
2018-10-26,28.149000,28.149000,28.016001,28.091000,28.091000,0
2018-10-29,27.903999,27.930000,27.879999,27.878000,27.878000,0
2018-10-30,27.961000,27.961000,27.893000,27.930000,27.930000,0
2018-10-31,27.917000,27.924000,27.848000,27.924000,27.924000,0
2018-11-01,27.885000,27.921000,27.851999,27.917000,27.917000,0
2018-11-02,27.843000,27.921000,27.813000,27.921000,27.921000,0
2018-11-05,27.940001,27.940001,27.773001,27.921000,27.921000,0
2018-11-06,27.665001,27.921000,27.665001,27.787001,27.787001,0
2018-11-07,27.542999,27.787001,27.542999,27.787001,27.787001,0
2018-11-08,27.775999,27.775999,27.698999,27.669001,27.669001,0
2018-11-09,27.809000,27.809000,27.600000,27.728001,27.728001,0
2018-11-12,27.662001,27.669001,27.662001,27.728001,27.728001,0
2018-11-13,27.746000,27.746000,27.628000,27.669001,27.669001,0
2018-11-14,27.506001,27.657000,27.506001,27.645000,27.645000,0
